time,x,y,behavior,action,chem,linVel,angVel
5.1333,-2.7247068834126265,1.1979615333893716,Out,5,480.0,0.08,0.3
10.9,-2.2971159558831187,1.0757310022820423,In,4,482.0,0.08,0.2963732857409748
16.8667,-1.9214815516925823,1.177247165342672,Out,5,482.0,0.08,0.3
22.7333,-1.5413651751057778,1.4399147951217854,ObstacleAvoidance,4,486.0,0.08,0.3
28.6333,-1.0993604734368634,1.6101462643287456,Out,5,486.0,0.08,-0.3
34.4333,-0.7528875237852086,1.9008837362596012,Out,5,488.0,0.08,-0.3
40.4,-0.3477809646341387,2.0383647506764717,In,4,485.0,0.08,-0.3
46.1667,0.1076411928203489,2.0687625762091577,Vision_front,1,483.0,0.08,0.0
52.0333,0.5633480628712302,2.0007030223642355,In,4,485.0,0.08,-0.13968011280844222
57.9,1.0164548206578454,1.9547177318606033,Vision_front,1,484.0,0.08,0.0
63.7333,1.4575170365620007,1.8952120464391549,Vision_right,2,488.0,0.08,0.03
69.6,1.8603325229398195,1.8174860474503833,Vision_right,2,487.0,0.08,0.03
75.4333,2.300530837954646,1.776678445178724,Vision_front,1,486.0,0.08,-0.3